5.2605;0.0831;0.0828;1.791;1.7913
9.6017;0.1409;0.1439;1.7846;1.7857
13.966;0.1913;0.19;1.6389;1.6374
18.3398;0.4939;0.4897;1.1708;1.1768
22.7206;0.555;0.5464;0.9956;1.0012
27.1152;0.4416;0.4265;1.075;1.0814
31.5214;0.5051;0.5114;0.9739;0.9772
35.9469;0.6443;0.617;0.7869;0.8072
40.3788;0.7357;0.7118;0.6545;0.6801
44.8133;0.5699;0.5594;0.8757;0.9081
49.2409;0.7679;0.7425;0.5928;0.6347
53.6693;0.5582;0.5412;0.8892;0.9247
58.1098;0.762;0.7295;0.5902;0.6206
62.5189;0.6619;0.6528;0.7288;0.7649
66.93;0.7186;0.7039;0.6363;0.677
71.3457;0.745;0.7109;0.585;0.6315
75.7596;0.8143;0.7837;0.4834;0.5394
80.1741;0.7692;0.734;0.5518;0.6079
84.6196;0.8281;0.7928;0.4544;0.5041
89.046;0.6065;0.6061;0.8388;0.8864
93.4702;0.798;0.7718;0.4946;0.5602
97.8879;0.7849;0.7479;0.5067;0.5665
102.3229;0.8309;0.7915;0.4273;0.4987
106.7476;0.5174;0.5208;1.068;1.1333
111.2043;0.7979;0.7635;0.4954;0.5661
115.6513;0.6476;0.636;0.7789;0.854
120.0834;0.852;0.8009;0.3849;0.4596
124.5127;0.721;0.6874;0.6149;0.6821
128.9456;0.8395;0.801;0.4073;0.4865
133.4023;0.5656;0.5512;0.9581;1.0188
137.8517;0.8208;0.7837;0.439;0.5267
142.3004;0.8455;0.7979;0.3926;0.4808
146.737;0.5083;0.5172;1.161;1.2297
151.1831;0.8706;0.8293;0.3562;0.4494
155.632;0.849;0.8047;0.3825;0.4828
160.0731;0.8574;0.8091;0.3717;0.4706
164.5055;0.8318;0.7922;0.4151;0.5103
168.9577;0.8747;0.8261;0.3342;0.4364
173.4276;0.879;0.8185;0.3245;0.4257
177.8794;0.827;0.7867;0.4184;0.5185
182.3332;0.6272;0.6204;0.8468;0.9429
186.7835;0.8731;0.8247;0.3326;0.4369
191.2334;0.8448;0.7906;0.3832;0.4903
195.681;0.88;0.8312;0.3142;0.4277
200.1331;0.7836;0.7397;0.5004;0.611
204.579;0.7375;0.7017;0.5947;0.7053
209.0206;0.8766;0.8181;0.3245;0.4362
213.4587;0.7688;0.7395;0.5302;0.6413
218.0462;0.8466;0.7959;0.3785;0.4802
222.5671;0.8787;0.8205;0.3144;0.4338
227.0841;0.8112;0.7615;0.4485;0.5717
231.5612;0.8945;0.834;0.2891;0.4202
236.0581;0.8549;0.8034;0.3547;0.4738
240.5802;0.74;0.7;0.5995;0.7171
245.0397;0.8996;0.8349;0.2743;0.4051
249.5612;0.5805;0.5722;0.9687;1.07
254.0214;0.8948;0.8306;0.2867;0.4204
258.5392;0.8725;0.8125;0.3226;0.4531
263.0201;0.9008;0.837;0.2727;0.4125
267.5014;0.9079;0.8407;0.2606;0.3961
272.0094;0.8065;0.7504;0.4609;0.6069
276.4965;0.8429;0.7921;0.3865;0.5251
281.0072;0.897;0.8313;0.2796;0.4111
285.5007;0.8211;0.7731;0.4229;0.5533
289.9817;0.8042;0.7585;0.4634;0.6165
294.4679;0.8682;0.812;0.3322;0.4913
298.9818;0.8123;0.7619;0.4463;0.6091
303.4822;0.9101;0.8402;0.2497;0.3904
307.9736;0.904;0.8347;0.2612;0.4204
312.4447;0.8901;0.8274;0.291;0.4462
316.9514;0.8975;0.8318;0.2728;0.4315
321.44;0.9011;0.8287;0.2657;0.4141
325.9632;0.8855;0.8244;0.3018;0.4521
330.4694;0.9122;0.8418;0.2471;0.4078
335.0002;0.8113;0.7611;0.4394;0.5769
339.5414;0.8081;0.762;0.4525;0.6233
344.0556;0.9091;0.8424;0.2498;0.4003
348.6229;0.9089;0.8411;0.2493;0.4005
353.1906;0.9239;0.851;0.2181;0.3914
357.7241;0.8942;0.8269;0.2774;0.4371
362.2865;0.8368;0.7828;0.3946;0.586
366.8305;0.6872;0.6643;0.741;0.9127
371.3543;0.9154;0.843;0.2321;0.4053
375.8782;0.767;0.726;0.5287;0.6701
380.4118;0.9115;0.8364;0.2388;0.4114
384.9714;0.917;0.8417;0.2289;0.4141
389.5769;0.9186;0.8495;0.2175;0.3951
394.1722;0.8776;0.8112;0.3038;0.4754
398.7931;0.9042;0.8369;0.2517;0.4168
403.3936;0.8809;0.8126;0.2986;0.46
407.9792;0.8884;0.8198;0.2851;0.4651
412.5571;0.9329;0.8522;0.2018;0.3783
417.1567;0.9322;0.8473;0.1957;0.3817
421.7531;0.8902;0.8263;0.2725;0.463
426.3677;0.932;0.8538;0.1993;0.3713
431.0031;0.9283;0.8474;0.1999;0.3934
435.6876;0.9338;0.8533;0.1913;0.3786
440.3995;0.915;0.8388;0.2276;0.4228
445.1238;0.9081;0.8335;0.2479;0.4144
449.8456;0.9108;0.8371;0.2387;0.4398
