1.0346860528927684 + 0.0199873332634478im	0.02711064972543692 + 0.013964319989235141im	0.005712379329397923 - 0.0141264805979024im	-0.02593232065424071 - 0.014337349982546554im	-0.002481564136769294 + 0.006085803185371334im	0.0031301956827342837 + 0.0026645804451220297im	0.0004036965857860124 - 0.0009638011630396684im	-0.00011931126134040581 - 0.00014234252539354012im	-2.5605161347474443e-5 + 4.714971061782823e-5im
1.0327760363846399 + 0.015199034330332114im	0.038281424346184804 + 0.021306812607021716im	0.005381124794589699 - 0.015268567800807948im	-0.03258714853138903 - 0.017307967284074244im	-0.0020055517048064974 + 0.0067375377100290365im	0.00421550998290283 + 0.003150800695793447im	0.0002516167586481629 - 0.0010913737870665496im	-0.0001748635958978075 - 0.00016911093408172715im	-1.5926658537336746e-5 + 5.438841634894686e-5im
1.0397121676479892 + 0.021839842798838983im	0.026390784759838946 + 0.011164306280792319im	0.005667082590769167 - 0.013230735510665418im	-0.027583234195720393 - 0.013623920989389764im	-0.002298278184257189 + 0.005794641880540767im	0.003473555804580581 + 0.002614164192956064im	0.000345890516858283 - 0.0009260381446333331im	-0.00013867319011173776 - 0.00014236322927527038im	-2.1679208745244933e-5 + 4.502026875457606e-5im
1.0399390740721537 + 0.022457239094051402im	0.025767692058856182 + 0.012601151990323927im	0.005883318924719623 - 0.0149258174472462im	-0.027509602857411358 - 0.014362121959596026im	-0.002661113782370844 + 0.006467082118503237im	0.003520480445435486 + 0.0027330454243953647im	0.00046210114929838813 - 0.0010342681639639616im	-0.00014311423178975163 - 0.00014826947809384487im	-2.9934298499336317e-5 + 5.0855733936717214e-5im
1.0416112401955886 + 0.023645466776768244im	0.025391332348543204 + 0.013290745375523192im	0.005944096076741037 - 0.016192026686148924im	-0.027955902779922513 - 0.015042137054876939im	-0.002686882219019412 + 0.00699835271322559im	0.0036269099953128154 + 0.0028587190387666704im	0.000456334494894639 - 0.0011135314157766356im	-0.00014970526385533125 - 0.00015487443630530506im	-2.9509595029333323e-5 + 5.510198603319148e-5im
1.031510784549175 + 0.015759398813246454im	0.03394681211185107 + 0.019454421059980298im	0.005120598302237497 - 0.015008143388053083im	-0.029244797650704788 - 0.01605560934072784im	-0.002082173392780147 + 0.00653081983416105im	0.00365316455915627 + 0.0028921720580875514im	0.00033636612083881665 - 0.0010496190781528077im	-0.00014621896533672631 - 0.00015354054943440888im	-2.241071275363961e-5 + 5.184167627675849e-5im
1.0394555920587292 + 0.022947614097861526im	0.027997837618294694 + 0.013719788870087393im	0.005745364546722145 - 0.016005509974246008im	-0.028792563970347494 - 0.015091917550743022im	-0.002572803746859747 + 0.006976346251197871im	0.003733013102760615 + 0.0028509631403295056im	0.000441738137115405 - 0.0011121624328364191im	-0.00015435609587570722 - 0.00015413589101392032im	-2.8979224933186882e-5 + 5.4851871160048864e-5im
1.0313160711491343 + 0.016225677467132094im	0.026617335038313365 + 0.018387828313182242im	0.005232115328091661 - 0.014474985060358802im	-0.024118317531718062 - 0.015480094660148089im	-0.002111181607089926 + 0.0062190136040509445im	0.002763319043968472 + 0.0027580294732898053im	0.0003348556629777393 - 0.0009848690233894093im	-9.885296547879622e-5 - 0.0001443385572382736im	-2.1923616356770316e-5 + 4.855035228868426e-5im
1.0193476981367628 + 0.011593091226253998im	0.03310156084478234 + 0.025781833635964698im	0.006240062782270083 - 0.015836043890207586im	-0.023906203157625497 - 0.017301537581768268im	-0.0029131264321329412 + 0.006569689380208123im	0.002619842419485424 + 0.002801696756346599im	0.0005148783814081795 - 0.0010180702356173497im	-8.927792118983008e-5 - 0.00013710132531322215im	-3.0737546584034124e-5 + 5.064912225692431e-5im
1.0241945215105321 + 0.010536326184696708im	0.04615255667063739 + 0.029924007115014507im	0.005773538366021586 - 0.015213745437923275im	-0.03452134064585756 - 0.02085027508241569im	-0.0024119702363802997 + 0.006432043183663407im	0.00443539020321487 + 0.0036302004295425566im	0.0003847339331364809 - 0.0010071387304527327im	-0.00018422915511803373 - 0.0001900466815403804im	-2.4434299326826895e-5 + 4.906508922191221e-5im
1.0297556198918132 + 0.018005740559625217im	0.021256693249963647 + 0.015896168879492852im	0.005780595855086304 - 0.013600029960303824im	-0.020029581437482697 - 0.014148508358468401im	-0.0026146253778906187 + 0.005675688926976063im	0.00208973117008066 + 0.0024330834443438117im	0.0004473190550130886 - 0.0008785480262898862im	-6.456392676125077e-5 - 0.00012229717513385007im	-2.7536218457981094e-5 + 4.324816631892829e-5im
1.0272915709786345 + 0.014238035818007914im	0.028034874500669577 + 0.020335959517753584im	0.005455048331196129 - 0.015087546587325903im	-0.023485207332515502 - 0.015427003155812809im	-0.002412913997476262 + 0.006388051850789163im	0.002622481374804401 + 0.002630088021920751im	0.00041770971317970024 - 0.000995057131382955im	-9.117906561819245e-5 - 0.0001335543844744267im	-2.685040497690873e-5 + 4.8560150545841726e-5im
1.0321933805487093 + 0.019946973424639098im	0.023003853744326546 + 0.016307269222471395im	0.005714464019591746 - 0.016013278509599764im	-0.02210306579633605 - 0.014998467371933168im	-0.002471238224521838 + 0.006791359640568881im	0.002440129348623656 + 0.002662138248948899im	0.00040549134052373737 - 0.00105487535930495im	-8.237255785102429e-5 - 0.0001379416974500938im	-2.5535748292993492e-5 + 5.170984624991503e-5im
1.0326013102971727 + 0.018920080885785638im	0.026279113730015354 + 0.017235295803518336im	0.005585113523933013 - 0.017619372365503153im	-0.024573687968675942 - 0.015235708822001521im	-0.002421657303066744 + 0.007585498360083151im	0.002885775344408946 + 0.002766227790725712im	0.00040584101301103956 - 0.0011969451972148185im	-0.00010646985176133662 - 0.0001463368050267436im	-2.61359161223353e-5 + 5.940936531131925e-5im
1.034556518894432 + 0.022178835302640535im	0.015646868762172084 + 0.009823695515436461im	0.0058858437102695185 - 0.014968902624705018im	-0.018433847511764887 - 0.011434087209007031im	-0.002723817266178439 + 0.006281888247328652im	0.0019140566635387167 + 0.0020117243458909447im	0.0004797715273787141 - 0.0009683500595742276im	-5.7394760981218936e-5 - 0.00010133667344474942im	-2.867778641671411e-5 + 4.7634744271165225e-5im
1.0388793177241455 + 0.022391330866372804im	0.020948451355841134 + 0.011063876646426529im	0.005875294827392894 - 0.015617059662900279im	-0.023920099409226667 - 0.012894031100815257im	-0.0028631183607645523 + 0.006713021394244435im	0.002929908173306303 + 0.0024029627571895552im	0.0005389590599574978 - 0.0010483183237464323im	-0.00011308784748306049 - 0.00012740192633503217im	-3.458384705913749e-5 + 5.092871068973084e-5im
1.0296553630240246 + 0.01590227273459138im	0.025569135990991147 + 0.018191361261714906im	0.005903986676524546 - 0.015884618075139374im	-0.022922394508241864 - 0.014935173947069853im	-0.0026125472866163684 + 0.00676069627382477im	0.0025820331990250175 + 0.0026783544762350457im	0.00043643895254856686 - 0.0010727042299536714im	-9.029974235151588e-5 - 0.00014063945929873565im	-2.7847980262353236e-5 + 5.322387985366069e-5im
1.029617750282434 + 0.013813710453260863im	0.024838746724480804 + 0.017440507605652276im	0.0058467765724036285 - 0.014649030149308887im	-0.022194470330544707 - 0.014166852571384225im	-0.0024357997543399353 + 0.006398432594130084im	0.0024148369230621793 + 0.0025785625248643234im	0.0003737697730188405 - 0.001033422047171597im	-8.018962508231069e-5 - 0.00013724120702555853im	-2.380391068711124e-5 + 5.125441863270263e-5im
1.0351003545001358 + 0.018971939885534184im	0.034615201903471365 + 0.012144217909580509im	0.006499551600133498 - 0.010529724241894826im	-0.03214308469161627 - 0.013564528225547108im	-0.003278294092484526 + 0.004612373524111572im	0.004354750063405865 + 0.0025231523461113343im	0.0006346100288673397 - 0.0007268435398537124im	-0.00018871993633484747 - 0.00013421704354080234im	-3.9847295269311646e-5 + 3.450899808100433e-5im
1.022254600352224 + 0.011930854742661845im	0.03299370183871461 + 0.022485168588058005im	0.006104058605456578 - 0.015367645299534369im	-0.025257818728063167 - 0.015612838167490702im	-0.002799997743478068 + 0.006502033422770532im	0.002918400839980029 + 0.0025542497331847197im	0.0004997225456778053 - 0.0010000534094299193im	-0.0001061749487740993 - 0.0001262731689419096im	-2.9252834730200756e-5 + 4.923106080192173e-5im
1.0251906067737468 + 0.015002095796865293im	0.029993340059567265 + 0.019473221286631974im	0.006249004610266921 - 0.015880096917039725im	-0.024438636239789716 - 0.014794952541838675im	-0.0029569471692482596 + 0.006709766122985789im	0.0028279702182662245 + 0.0024795980422426646im	0.0005243840017648094 - 0.0010360320977823158im	-0.00010241023150898702 - 0.00012420981843938835im	-3.02004955271773e-5 + 5.101886636094473e-5im
1.0261917608130209 + 0.015850307698357474im	0.025618098014566087 + 0.017400660162353525im	0.005926615725278615 - 0.014294310742181564im	-0.021929444787236903 - 0.013968373069892893im	-0.0027401175722980313 + 0.006020725518269039im	0.0024261693069096532 + 0.002331703755878809im	0.0004962120637712902 - 0.0009365230837386119im	-8.249308319649949e-5 - 0.00011552269845309213im	-2.968722518629312e-5 + 4.649782410089023e-5im
1.02436435080504 + 0.015897122744197845im	0.039025052111021745 + 0.022899543668742466im	0.005700738028424737 - 0.01407856154779853im	-0.02997412847608832 - 0.018015374200823355im	-0.0026156924208767312 + 0.0059104817122024025im	0.003709907445491327 + 0.0030797379829349244im	0.0004769330188699826 - 0.0009061854496294234im	-0.00014771041510644984 - 0.00015652227005352786im	-3.010124355492635e-5 + 4.375953004535928e-5im
1.0305955410518202 + 0.02018760663546486im	0.030105467550162145 + 0.01810269516275302im	0.005976993236710249 - 0.016047696902766632im	-0.026672213861357714 - 0.016067210035540083im	-0.0028574169259303834 + 0.0067772513586220025im	0.00327110241269705 + 0.0028022210251896934im	0.0005247236017484801 - 0.001056540545288394im	-0.00012765721278685225 - 0.00014341747186401424im	-3.256422475731441e-5 + 5.221226365845586e-5im
1.0413351435265095 + 0.023695020668204662im	0.028355531160266127 + 0.01152817225747834im	0.005937050105818744 - 0.01217607620992436im	-0.029730642156715555 - 0.01482468715842939im	-0.0024696867546084404 + 0.005254750109282845im	0.003890038336865369 + 0.0028565771938289233im	0.00037128342933333313 - 0.0008436399462478374im	-0.0001620276669308624 - 0.0001556555140095354im	-2.340069590647528e-5 + 4.129529459358434e-5im
1.0428979152750104 + 0.022805074342757938im	0.02620732982221149 + 0.011156875082956735im	0.005453613068385186 - 0.014448228365560308im	-0.029005247975652515 - 0.01395158253931882im	-0.002188052870556122 + 0.006398502522089694im	0.0038032391613218273 + 0.0027283617986628367im	0.000340533140546811 - 0.0010424799454696486im	-0.00015848563740873575 - 0.00015040371765495864im	-2.2385950753130494e-5 + 5.180668699220061e-5im
1.0316974021790752 + 0.01953536703634648im	0.024158900132963606 + 0.018131160493580156im	0.0058164024807896226 - 0.016446570457805256im	-0.022686996366111538 - 0.01591135313246699im	-0.002513241740338187 + 0.006941419238576639im	0.0025317241881479893 + 0.0028074881922591534im	0.0004112684437457411 - 0.0010805570755438767im	-8.70631502456926e-5 - 0.00014534480859716977im	-2.5959765392676603e-5 + 5.3433389151337526e-5im
1.0299277633913437 + 0.01618988480250633im	0.021779012430721775 + 0.016317209092043348im	0.006005899667720404 - 0.015940295111082105im	-0.020553423098909153 - 0.013520331205362768im	-0.002783360086941456 + 0.006769458033367846im	0.002191702555647593 + 0.0023744877476129882im	0.0004914789490842355 - 0.0010638094971374588im	-7.001555139222028e-5 - 0.00012228941668477613im	-3.0272366842350307e-5 + 5.261104362626496e-5im
1.0287773221761893 + 0.016795802954164007im	0.02535065584793847 + 0.018459429769156217im	0.005904094112366356 - 0.01731419671404003im	-0.022263837565062863 - 0.015116118317194085im	-0.002557922180693802 + 0.0073867717793984185im	0.002419462460285328 + 0.0026888172262633857im	0.00041634504390126537 - 0.0011571252048468976im	-8.013996682751133e-5 - 0.00014031372611029403im	-2.5973958608508128e-5 + 5.717953194920419e-5im
1.0298495907885579 + 0.0143161203982664im	0.035592420365953545 + 0.022590400862206365im	0.005689044990285143 - 0.015007343018962442im	-0.0294944543946236 - 0.017439694275167696im	-0.0022650215858376972 + 0.006423944564636073im	0.003631492005164217 + 0.003084428866171271im	0.0003175724993286625 - 0.0010194107960945018im	-0.00014269996253182314 - 0.00016212529876037305im	-1.9574616312578106e-5 + 5.017274175304203e-5im
1.030341172672301 + 0.018911753634118216im	0.027210976660849005 + 0.017151850271997074im	0.005888701977170199 - 0.014688456456954782im	-0.02438787279415541 - 0.01560240904819488im	-0.0027078822317315172 + 0.0062436093315905265im	0.002844827612908398 + 0.0027914414954078844im	0.0004793941073253817 - 0.0009772796332946198im	-0.00010436400952924323 - 0.0001454240378517135im	-3.06150307463089e-5 + 4.803976679629894e-5im
1.0383717536076216 + 0.02250731924363554im	0.028812645932446406 + 0.01578171092064308im	0.005821278827217234 - 0.0167557893538589im	-0.029004401770300735 - 0.016119402806545655im	-0.0025735230195906445 + 0.007201235884880582im	0.0037715986502422274 + 0.00303761114796338im	0.0004406422746351337 - 0.0011496249046874462im	-0.00015658902812813044 - 0.0001646214334786356im	-2.914142808031175e-5 + 5.714781114248349e-5im
1.0398470018771802 + 0.02225668438793353im	0.02933432026251761 + 0.012690321578675612im	0.0056715695411105604 - 0.014647998711090415im	-0.029628514646223174 - 0.014542136217291423im	-0.0022594647019439106 + 0.0064382366102543435im	0.0038253456211124756 + 0.0027890442844848568im	0.00032429503695821876 - 0.001039702297849372im	-0.0001571637289889616 - 0.00015282236263593424im	-2.0595780178372222e-5 + 5.133932023448201e-5im
1.0418800667351662 + 0.02334630130186476im	0.02872510592577763 + 0.012326273623284267im	0.005428158063150054 - 0.014206678659616799im	-0.03033042517015897 - 0.015043804850079662im	-0.00222989092387034 + 0.006243073635445984im	0.004028283202315785 + 0.00293837184418im	0.00036051105442258774 - 0.0010132071379931192im	-0.00017065314641298088 - 0.0001624865738028599im	-2.434625026307783e-5 + 5.029315597547726e-5im
1.0308625570431322 + 0.014979706498323952im	0.031555277084101926 + 0.014152636857596605im	0.005334121617710248 - 0.009718672995339527im	-0.02751683579655646 - 0.013360788824026047im	-0.0022852988175349706 + 0.004220067403256132im	0.003378540197585227 + 0.0024342834043234343im	0.0003944910073287131 - 0.0006820058190317103im	-0.00013221706596140773 - 0.000127800916190082im	-2.600909033402683e-5 + 3.276945440330539e-5im
1.0320922213467805 + 0.015159068285215864im	0.02813677623077302 + 0.014918448988702886im	0.006114136359760953 - 0.011213781305604723im	-0.02568998820594647 - 0.013641235276968103im	-0.0027550195365777254 + 0.004852704539903478im	0.0030793605765616562 + 0.002488893680949474im	0.00046500599352094596 - 0.0007755478281707786im	-0.00011698761865247582 - 0.0001319120431901299im	-2.94417428074864e-5 + 3.741745859347497e-5im
1.0322483467086305 + 0.019644402606659086im	0.03206555788484248 + 0.016920046619568984im	0.006456412046247831 - 0.017016712705618116im	-0.028978995979775574 - 0.015000521799548413im	-0.0032178531152826702 + 0.007252964816822594im	0.0037390247195160453 + 0.00263834621910673im	0.0006006622006518353 - 0.0011306769198598592im	-0.00015434838937972148 - 0.00013624251973678412im	-3.669680543933653e-5 + 5.582503265946094e-5im
1.02209915496661 + 0.013814487139112963im	0.026655205380239085 + 0.019146071454412595im	0.005796630797657318 - 0.014101930652742121im	-0.020873125686849944 - 0.014065556358466283im	-0.0026100680495515826 + 0.005886945503227297im	0.002182812444363798 + 0.0022561391025408294im	0.00044670815405621714 - 0.0009076615700243392im	-6.758019518770493e-5 - 0.00010857101742231034im	-2.4818859942621918e-5 + 4.523048855901766e-5im
1.0405796104147256 + 0.02372937237401857im	0.02685456106886719 + 0.014538751504345597im	0.006258471499332582 - 0.017891651153362942im	-0.028565768384716604 - 0.015490391560474107im	-0.002923636326611905 + 0.007720967310131168im	0.0037184933554964086 + 0.00293141217791837im	0.0005085479699760444 - 0.001233144260994283im	-0.00015409253985120295 - 0.00015910129573677936im	-3.2587169910247545e-5 + 6.145505148205346e-5im
1.0387435892400154 + 0.021094602546593535im	0.024743488671844036 + 0.012387819385746207im	0.005900804355258289 - 0.01380660340058169im	-0.026114796092058974 - 0.013941776412563707im	-0.0025902256220352686 + 0.006015753871094918im	0.003226414593221733 + 0.0026452169313224113im	0.0004299961954152466 - 0.00096124907528414im	-0.00012598502707036733 - 0.0001432350183323623im	-2.7725053756700683e-5 + 4.685720421495249e-5im
1.0388728053151768 + 0.021097719099120543im	0.04069609938415312 + 0.01883518055438641im	0.0059318699295851755 - 0.01721766154449553im	-0.03741183751866784 - 0.017436501175088544im	-0.0025088766709953315 + 0.007461443033146977im	0.005226027447477541 + 0.0032320423387657915im	0.0003923479084633197 - 0.001203401822367861im	-0.00023351326760156387 - 0.0001741450188714613im	-2.5346512372380097e-5 + 5.977453916855605e-5im
1.0415762229342478 + 0.02189898275684308im	0.03173347123978091 + 0.01352923256037521im	0.005857217771717409 - 0.01600518149336375im	-0.03271943772861119 - 0.014594264571294145im	-0.0028015272859908615 + 0.007058949319417818im	0.004517842425400921 + 0.002757843836731738im	0.0005346552240925196 - 0.0011342735775480626im	-0.00019891647443154173 - 0.00014883361494480505im	-3.565109501030991e-5 + 5.552300613190249e-5im
1.0177642532714783 + 0.008656108620898528im	0.038784661333225674 + 0.028338192052661436im	0.005235840744725044 - 0.015719593299381284im	-0.026724821737680947 - 0.018202475826664028im	-0.0022931667624290757 + 0.0066754376624578605im	0.0030149698475367692 + 0.002958487429432789im	0.0004036738938195363 - 0.00102926399050933im	-0.00010753223029507109 - 0.00014620721189593025im	-2.5312899436441848e-5 + 5.042746604692892e-5im
1.0264544358550898 + 0.014511677353480159im	0.0326223150872436 + 0.02089190577773495im	0.0059397952915270225 - 0.012140877128462457im	-0.026525425239649576 - 0.016535942799688216im	-0.002699735061684316 + 0.005109631321795977im	0.003156088951737512 + 0.0028220190351430597im	0.0004822215426737276 - 0.00079074356650162im	-0.00011962299453401176 - 0.00014321703888565683im	-3.0297318771641877e-5 + 3.810297649537372e-5im
1.0216851412207133 + 0.01531965053341121im	0.03089946568385782 + 0.0196379749080307im	0.005502903503352781 - 0.013732806313117308im	-0.02329212434067729 - 0.015351000594743517im	-0.0025156939228742343 + 0.005740531860221166im	0.002543160023407792 + 0.002550568741598594im	0.00045062352566463724 - 0.0008835951478655269im	-8.583810268069609e-5 - 0.00012577187355970404im	-2.7474372412437766e-5 + 4.3346573029116726e-5im
1.022711147197523 + 0.01535991317176038im	0.03572883483450374 + 0.025058686889286728im	0.006005110043619333 - 0.016573839337810554im	-0.027156491359715117 - 0.018370202192151148im	-0.002805512464847945 + 0.006861024141383403im	0.0032294121696966466 + 0.0030737086464667327im	0.0005051860881075808 - 0.0010551800189074246im	-0.00012256118920764685 - 0.00015397527305786732im	-3.091621057758915e-5 + 5.2064126068748494e-5im
1.0335965351586094 + 0.02040617420637399im	0.028363765443698712 + 0.017024126961688892im	0.005611185750587761 - 0.01654316617356578im	-0.02636345039640358 - 0.015993695233574724im	-0.002380051222236674 + 0.007042856810062518im	0.003200024808219212 + 0.002946134711119642im	0.000378478824761603 - 0.0011085057075853754im	-0.00012310267215974278 - 0.00015712953638220695im	-2.4379342875156244e-5 + 5.478587990969069e-5im
1.0293551625047606 + 0.014616634463624146im	0.02416671822298433 + 0.01840254582479249im	0.005153305773900521 - 0.015222078010532004im	-0.021532918173061886 - 0.01477189429540715im	-0.0020534835305123446 + 0.0065187784064319534im	0.0022890746004370077 + 0.0026338743583332893im	0.0003149643777704986 - 0.0010245519573599446im	-7.32961715926087e-5 - 0.000138064823337496im	-2.0605362739769167e-5 + 5.020271673140377e-5im
1.0309054947315035 + 0.01825193735057933im	0.025400819418557395 + 0.01588881843288067im	0.00582049217658719 - 0.01560830489724879im	-0.023429991856198644 - 0.01414962916947626im	-0.0027469091509673177 + 0.006592483641105777im	0.002700897201376806 + 0.0025066045502095133im	0.0004967984571914883 - 0.001022167704468451im	-9.713986060915503e-5 - 0.00012944967512690302im	-3.1262389225176916e-5 + 4.973925983374237e-5im
1.0330620524092706 + 0.0188220676807405im	0.02509015057569206 + 0.0145017970965382im	0.005690252868195826 - 0.014648797502935426im	-0.024159093346777242 - 0.013940520484548883im	-0.002573219318431677 + 0.006285577454479613im	0.002859944797251509 + 0.002544137995279353im	0.00045851542378086364 - 0.0009960447683167069im	-0.00010659327728553155 - 0.00013405295128330594im	-2.9738050320310976e-5 + 4.9002026413905645e-5im
1.0368438460161866 + 0.022453425803156728im	0.030871110364804433 + 0.016798820626926184im	0.005989089208116647 - 0.017226730619645855im	-0.029858832422407916 - 0.016404916255284882im	-0.0028026560357636947 + 0.007391201966610337im	0.003915423595854287 + 0.003011346946858314im	0.0005038055508310537 - 0.0011725183124842449im	-0.0001642999777022758 - 0.00015986329812930168im	-3.2717151797298966e-5 + 5.837033108327899e-5im
1.0376361279566455 + 0.02047003911775998im	0.024970931445825482 + 0.013901939673936272im	0.005091291244462102 - 0.01403161277089792im	-0.025778910311733304 - 0.014494408557273178im	-0.0020723267023954493 + 0.006067814520640139im	0.003161803765723702 + 0.002690741436527911im	0.0003389791671534097 - 0.0009628676152417725im	-0.00012289559258024421 - 0.00014363468457048414im	-2.289045126817179e-5 + 4.723006778887566e-5im
1.0371839640684235 + 0.019440415182678465im	0.030040761846608626 + 0.016286293967330164im	0.005739535534586087 - 0.016291627145729907im	-0.029051028384102406 - 0.015555521036721792im	-0.002354308652647376 + 0.0071185598470824025im	0.003707484669018068 + 0.002951194287129434im	0.00035580040675849356 - 0.0011534540860866505im	-0.0001507232797589881 - 0.00016149291694542842im	-2.3010968007129537e-5 + 5.7570280822072986e-5im
1.0331010183843614 + 0.014880540094870538im	0.028567118891809015 + 0.018996946427234315im	0.005779338218723318 - 0.015522767970577663im	-0.02605069095671638 - 0.015354993575496816im	-0.0023147191599414947 + 0.006735894502772121im	0.003091769440581719 + 0.002785209717264279im	0.0003207158815639664 - 0.0010885241112410056im	-0.00011569505309579584 - 0.0001487312670067998im	-1.9569825481928644e-5 + 5.441066698254154e-5im
1.0466310759373516 + 0.02659842711789862im	0.03356373187332833 + 0.007619379665507486im	0.006250031190811274 - 0.013341887748030355im	-0.035822724974128695 - 0.01376642690193701im	-0.002515610713000472 + 0.005980877883099696im	0.005051423899419506 + 0.002861723653958002im	0.00035103683332038247 - 0.0009986663806836758im	-0.00022617846463621278 - 0.00016331446432391923im	-2.167704864331726e-5 + 4.97677599721626e-5im
